Nome,Escolaridade,Número,Aptidão,Coligação
Brigida Caires,Ensino Médio completo,7725,Deferido (Apto),SOLIDARIEDADE
Brizolla,Superior completo,7749,Deferido (Apto),SOLIDARIEDADE
Bruna Furlan,Superior completo,4585,Deferido (Apto),PSDB-PSD-DEM-PP
Bruno,Superior incompleto,4532,Deferido (Apto),PSDB-PSD-DEM-PP
Bruno Ramos,Superior incompleto,1373,Deferido (Apto),SÃO PAULO DO TRABALHO  E DE OPORTUNIDADES
Burro-Marcos Sampaio,Superior completo,7051,Deferido (Apto),AVANTE
Buscando O Imponderavel,Ensino Médio completo,3360,Deferido (Apto),Coligação Mobilização Sustentável por São Paulo
Cabo Ramsés,Ensino Médio completo,1954,Deferido (Apto),UNIDOS POR SÃO PAULO
Cabo Sandra,Superior completo,1549,Deferido (Apto),MDB
Cabral dos Químicos,Ensino Médio completo,5011,Deferido (Apto),SEM MEDO DE MUDAR SÃO PAULO
Cacá dos Rurais,Ensino Médio completo,1346,Deferido (Apto),SÃO PAULO DO TRABALHO  E DE OPORTUNIDADES
Cadu Modena,Superior completo,2765,Indeferido com recurso (Apto),DC
Caio Dezorzi,Superior completo,5048,Deferido (Apto),SEM MEDO DE MUDAR SÃO PAULO
Caio Miranda Carneiro,Superior completo,4011,Deferido (Apto),"Coligação PSB, PTB, PPS, PSC"
Caio Túlio,Superior completo,2979,Indeferido com recurso (Apto),PCO
Cal,Ensino Médio completo,2214,Deferido (Apto),PR
Camila Soares,Superior completo,1027,Deferido (Apto),PRB
Cantor Zanuty,Ensino Médio completo,1071,Deferido (Apto),PRB
Cantora Elizangela Miguel,Ensino Médio completo,2275,Deferido (Apto),PR
Cantora Jucimara Lins,Lê e escreve,5141,Deferido (Apto),PATRI
Cantora Vanilda Bordieri,Ensino Médio incompleto,5199,Deferido (Apto),PATRI
Cap. Laudo Natel,Superior completo,7033,Deferido (Apto),AVANTE
Capitão Augusto,Superior completo,2200,Deferido (Apto),PR
Capitão Eiji Santana,Superior completo,2256,Deferido (Apto),PR
Careca,Ensino Fundamental incompleto,1219,Deferido (Apto),PDT
Carla Flores,Superior completo,1503,Deferido (Apto),MDB
Carla Rubio,Superior completo,9086,Deferido (Apto),PROS
Carla Vitória,Ensino Médio completo,7025,Deferido (Apto),AVANTE
Carla Zambelli,Superior completo,1710,Deferido (Apto),PSL
Carlão da Proteção,Ensino Médio completo,1566,Indeferido com recurso (Apto),MDB
Carlinhos da Missão Alpha,Ensino Médio completo,5112,Indeferido (Inapto),PATRI
Carlinhos Silva,Superior completo,4360,Deferido (Apto),PV
Carlos Adao,Superior completo,1082,Deferido (Apto),PRB
Carlos Antonio,Ensino Médio completo,2866,Deferido (Apto),PRTB
Carlos Bettiati,Ensino Médio completo,9009,Deferido (Apto),PROS
Carlos Bezerra Jr,Superior completo,4577,Deferido (Apto),PSDB-PSD-DEM-PP
Carlos Canbrasil,Ensino Médio completo,4452,Deferido (Apto),PRP
Carlos da Saúde,Superior completo,7787,Deferido (Apto),SOLIDARIEDADE
Carlos Fabrini,Superior completo,4447,Deferido (Apto),PRP
Carlos Filho,Superior completo,2831,Indeferido (Inapto),PRTB
Carlos Gabas,Superior completo,1377,Deferido (Apto),SÃO PAULO DO TRABALHO  E DE OPORTUNIDADES
Carlos Januário,Ensino Médio completo,1345,Deferido (Apto),SÃO PAULO DO TRABALHO  E DE OPORTUNIDADES
Carlos Japonês,Superior completo,2363,Deferido (Apto),"Coligação PSB, PTB, PPS, PSC"
Carlos Maiolino,Superior completo,9053,Deferido (Apto),PROS
Carlos Monteiro,Superior completo,3350,Deferido (Apto),Coligação Mobilização Sustentável por São Paulo
Carlos Ramos - Kakai,Superior completo,4325,Deferido (Apto),PV
Carlos Sampaio,Superior completo,4500,Deferido (Apto),PSDB-PSD-DEM-PP
Carlos Saran,Ensino Médio incompleto,4457,Deferido (Apto),PRP
Carlos Zarattini,Superior completo,1370,Deferido (Apto),SÃO PAULO DO TRABALHO  E DE OPORTUNIDADES
Carminha,Ensino Médio completo,4384,Deferido (Apto),PV
Carol Gomes,Superior incompleto,4595,Deferido (Apto),PSDB-PSD-DEM-PP
Carol Moura,Superior completo,1900,Renúncia (Inapto),UNIDOS POR SÃO PAULO
Caroline Groot,Superior completo,1017,Deferido (Apto),PRB
Caroline Valverde,Superior completo,9036,Deferido (Apto),PROS
Carteiro Maurício,Ensino Médio completo,4379,Deferido (Apto),PV
Casarin,Ensino Médio completo,2899,Deferido (Apto),PRTB
Cassio 26 da Norte,Superior completo,7026,Deferido (Apto),AVANTE
Cassio Toledo,Superior completo,4352,Deferido (Apto),PV
Catia Gusmão,Superior incompleto,2789,Indeferido (Inapto),DC
Catia Tappi,Superior incompleto,1490,Deferido (Apto),"Coligação PSB, PTB, PPS, PSC"
Catia Verissimo,Superior completo,4494,Deferido (Apto),PRP
Catolé,Ensino Fundamental completo,1256,Deferido (Apto),PDT
Cayres Ambiental,Superior completo,5136,Deferido (Apto),PATRI
Ceará,Ensino Médio completo,1507,Deferido (Apto),MDB
Ceará Pança,Ensino Fundamental incompleto,5127,Deferido (Apto),PATRI
Cecilia Bezerra,Ensino Médio completo,7013,Deferido (Apto),AVANTE
Cecília Duarte,Superior completo,3083,Deferido (Apto),NOVO
Céia Nanni,Superior completo,2737,Deferido (Apto),DC
Celene Salomão,Superior incompleto,1706,Indeferido com recurso (Apto),PSL
Célia do Carmo,Superior completo,1834,Deferido (Apto),Coligação Mobilização Sustentável por São Paulo
Celio Boi,Ensino Médio completo,4032,Deferido (Apto),"Coligação PSB, PTB, PPS, PSC"
Celio Franco,Superior completo,1299,Deferido (Apto),PDT
Celio Rheis,Superior incompleto,9059,Deferido (Apto),PROS
Célio Turino,Superior completo,5088,Deferido (Apto),SEM MEDO DE MUDAR SÃO PAULO
Celso Russomanno,Superior completo,1000,Deferido (Apto),PRB
Celso Soares,Superior completo,2852,Deferido (Apto),PRTB
Celso Vendramini,Superior completo,1747,Indeferido com recurso (Apto),PSL
Cesar Biagioni,Superior completo,1928,Deferido (Apto),UNIDOS POR SÃO PAULO
Cesar Renato,Superior completo,2701,Indeferido (Inapto),DC
César Rocha Proteção Animal,Superior completo,1807,Deferido (Apto),Coligação Mobilização Sustentável por São Paulo
Cesar Santana,Superior incompleto,7097,Deferido (Apto),AVANTE
Cezinha de Madureira,Superior incompleto,5577,Deferido (Apto),PSDB-PSD-DEM-PP
Charles Mcnaughton,Superior completo,3031,Deferido (Apto),NOVO
Cheila Olalla,Superior completo,1351,Deferido (Apto),SÃO PAULO DO TRABALHO  E DE OPORTUNIDADES
Chiarelli,Ensino Fundamental incompleto,5170,Deferido (Apto),PATRI
Chico Alves,Ensino Fundamental completo,3378,Deferido (Apto),Coligação Mobilização Sustentável por São Paulo
Chico Bertino,Ensino Médio completo,3066,Deferido (Apto),NOVO
Chico Loco,Superior completo,4066,Deferido (Apto),"Coligação PSB, PTB, PPS, PSC"
Chico Pansiga,Superior completo,5524,Deferido (Apto),PSDB-PSD-DEM-PP
China,Ensino Médio completo,2251,Deferido (Apto),PR
Chiquinho Pereira,Ensino Médio completo,1452,Deferido com recurso (Apto),"Coligação PSB, PTB, PPS, PSC"
Chupeta do Gás,Ensino Fundamental incompleto,2822,Deferido (Apto),PRTB
Chupetinha,Ensino Fundamental completo,9073,Deferido (Apto),PROS
Cibele Laura,Ensino Médio completo,5407,Deferido (Apto),PPL
Cicera Maria,Ensino Médio completo,1337,Deferido (Apto),SÃO PAULO DO TRABALHO  E DE OPORTUNIDADES
Cicero Motorista,Ensino Médio completo,5460,Deferido (Apto),PPL
Cícero Perueiro,Ensino Fundamental completo,4413,Deferido (Apto),PRP
Cida Araujo,Superior completo,2757,Deferido (Apto),DC
Cida Meg,Ensino Fundamental completo,1042,Deferido (Apto),PRB
Cidimar Porto,Superior completo,1540,Deferido (Apto),MDB
Cidinho do Paraíso,Ensino Médio completo,2215,Deferido (Apto),PR
Cido Andrade,Superior completo,3337,Indeferido com recurso (Apto),Coligação Mobilização Sustentável por São Paulo
Cido da Comunidade,Superior completo,7050,Deferido (Apto),AVANTE
Cido Sério,Superior completo,1090,Deferido (Apto),PRB
Cirlene Rabecchini,Superior completo,4025,Deferido (Apto),"Coligação PSB, PTB, PPS, PSC"
Ciro Negreti Dias,Superior incompleto,1528,Deferido (Apto),MDB
Clau de Luca,Superior completo,1757,Deferido (Apto),PSL
Claudete Cypriano,Superior incompleto,2803,Deferido (Apto),PRTB
Claudete Nascimento,Ensino Fundamental completo,7781,Deferido (Apto),SOLIDARIEDADE
Claudia Baronesa,Ensino Médio completo,5100,Deferido (Apto),PATRI
Claudia Becker,Ensino Médio incompleto,2767,Indeferido (Inapto),DC
Claudia Radica,Superior completo,2895,Indeferido (Inapto),PRTB
Claudia Souza,Ensino Médio completo,3660,Deferido (Apto),PTC
Claudinei Belo,Ensino Médio completo,5175,Deferido (Apto),PATRI
Claudio Andrade,Superior completo,5421,Deferido (Apto),PPL
Cláudio Donizete,Superior incompleto,1600,Deferido (Apto),PSTU
Claudio Ferreira Silva,Superior completo,5480,Indeferido com recurso (Apto),PPL
Claudio Gaspar,Superior completo,4349,Deferido (Apto),PV
Claudio Kratos,Superior completo,1810,Deferido (Apto),Coligação Mobilização Sustentável por São Paulo
Claudio Paes,Superior completo,1838,Deferido (Apto),Coligação Mobilização Sustentável por São Paulo
Claudio Ramos,Superior completo,1369,Deferido (Apto),SÃO PAULO DO TRABALHO  E DE OPORTUNIDADES
Claudio Sabino,Ensino Médio completo,4432,Deferido (Apto),PRP
Cleber Araujo,Superior completo,1912,Deferido (Apto),UNIDOS POR SÃO PAULO
Cléber do Arrocha,Ensino Fundamental incompleto,5474,Indeferido (Inapto),PPL
Clelia Santos - Banco Empregos,Ensino Médio completo,2825,Deferido (Apto),PRTB
Clemir Batista,Ensino Fundamental incompleto,1781,Deferido (Apto),PSL
Cleson Alves,Superior completo,7058,Deferido (Apto),AVANTE
Cleverson Fiuza,Superior completo,3045,Deferido (Apto),NOVO
Comandante Castanho,Superior completo,1737,Deferido (Apto),PSL
Comandante Gambaroni,Superior completo,1932,Deferido (Apto),UNIDOS POR SÃO PAULO
Comendador Clayton,Superior completo,1420,Deferido (Apto),"Coligação PSB, PTB, PPS, PSC"
Conceição Moreira,Superior completo,4503,Deferido (Apto),PSDB-PSD-DEM-PP
Copati,Superior completo,5458,Deferido (Apto),PPL
Coronel Castro,Superior completo,1788,Deferido (Apto),PSL
Coronel Franciscon,Superior completo,1707,Deferido (Apto),PSL
Coronel Gervasio,Superior completo,5444,Deferido (Apto),PPL
Coronel Guidi,Superior completo,2776,Deferido (Apto),DC
Coronel Tadeu,Ensino Fundamental completo,1700,Deferido (Apto),PSL
Coronel Tomasella,Superior completo,1799,Deferido (Apto),PSL
Cowboy,Ensino Médio completo,1094,Deferido (Apto),PRB
Creuza Diaconisa,Superior incompleto,1046,Deferido (Apto),PRB
Cris Oliveira,Superior completo,3018,Renúncia (Inapto),NOVO
Cristiano Crico,Superior completo,3177,Deferido (Apto),UNIDOS POR SÃO PAULO
Crivelli,Superior completo,3100,Renúncia (Inapto),UNIDOS POR SÃO PAULO
Crystal,Superior incompleto,3509,Indeferido (Inapto),UNIDOS POR SÃO PAULO
