Nome,Escolaridade,Número,Aptidão,Coligação
José Carlos,Ensino Médio completo,70345,Deferido (Apto),AVANTE
Jose Carlos Bispo,Ensino Médio completo,51233,Deferido (Apto),PATRI
Ronald Tanimoto,Superior completo,19819,Deferido (Apto),PODE
José Claudio - Japonês,Ensino Médio completo,65465,Deferido (Apto),PC do B
José Edilson,Ensino Fundamental completo,17400,Deferido (Apto),PSL
José Idailson,Ensino Fundamental completo,90810,Deferido (Apto),PROS
Jose Luis Barros,Ensino Fundamental completo,28048,Deferido (Apto),PRTB
Ronaldo Franco,Superior completo,19012,Deferido (Apto),PODE
Sandra Capucho,Superior completo,19197,Deferido (Apto),PODE
José Morais,Ensino Fundamental incompleto,70040,Deferido (Apto),AVANTE
Jose Ricardo,Ensino Médio completo,30037,Deferido (Apto),NOVO
José Roosevelt,Ensino Fundamental completo,44025,Deferido (Apto),PRP
Sargento Galesco,Superior completo,19190,Deferido (Apto),PODE
Josefa Silva,Ensino Médio completo,90909,Deferido (Apto),PROS
Simone Mulheres no Poder,Superior completo,19022,Deferido (Apto),PODE
Josetania,Superior incompleto,31770,Deferido (Apto),RENOVAÇÃO 
Vagner Moura,Superior completo,19023,Deferido (Apto),PODE
Valentim,Superior completo,19222,Deferido (Apto),PODE
Joyce Felix,Ensino Médio completo,36889,Deferido (Apto),PTC
Veterinário Raphael Hamaoui,Superior completo,19018,Deferido (Apto),PODE
Ju dos Bichos,Ensino Médio completo,90951,Deferido (Apto),PROS
Juarez Costa,Ensino Fundamental completo,31032,Deferido (Apto),RENOVAÇÃO 
Willian Oliveira,Superior completo,19122,Deferido (Apto),PODE
Yeda Maria,Superior completo,19221,Deferido (Apto),PODE
Andréa Mazzoni,Superior completo,19349,Indeferido (Inapto),PODE
Jucimara,Ensino Médio completo,28008,Deferido (Apto),PRTB
Arlindo Amaro,Superior completo,19054,Indeferido (Inapto),PODE
Assistente Social Vera,Superior completo,19194,Indeferido com recurso (Apto),PODE
Juliana Silva,Superior incompleto,19360,Deferido (Apto),PODE
Dr. Aidan Ravin,Superior completo,19456,Indeferido com recurso (Apto),PODE
Cesar Foffa,Superior completo,19004,Renúncia (Inapto),PODE
Juliao,Superior incompleto,65021,Deferido (Apto),PC do B
Julinho Fuzari,Superior incompleto,23423,Deferido (Apto),"Coligação PSB, PTB, PV, PSC, PPS"
Paulo Valério,Superior completo,19021,Renúncia (Inapto),PODE
Professor Osmar,Superior completo,19527,Renúncia (Inapto),PODE
Amelia Domeni,Superior completo,54321,Deferido (Apto),PPL
Julio Leal,Ensino Médio completo,17243,Deferido (Apto),PSL
Daniel Drager,Superior completo,54333,Deferido (Apto),PPL
Dr Stelio Pessanha Médico,Superior completo,54222,Deferido (Apto),PPL
Fredo Junior,Superior completo,54789,Deferido (Apto),PPL
Heliton Escorpeli,Superior completo,54019,Deferido (Apto),PPL
Juninho Montemor,Ensino Médio completo,70787,Deferido (Apto),AVANTE
Juninho Stylo,Ensino Fundamental incompleto,33666,Deferido (Apto),Coligação Mobilização Sustentável por São Paulo
Joao Leitte,Superior completo,54322,Deferido (Apto),PPL
Luizinho,Superior completo,54700,Deferido (Apto),PPL
Juraci de Osti,Superior incompleto,17765,Deferido (Apto),PSL
Juruna,Ensino Médio completo,18456,Deferido (Apto),Coligação Mobilização Sustentável por São Paulo
